기준_년분기_코드,행정동_코드_명,상권_변화_지표,Prev_상권_변화_지표
20194,가회동,HH,LH
20204,개봉2동,HH,LH
20232,개봉2동,HH,LH
20212,개포1동,HH,LH
20192,구로4동,HL,LL
20223,난곡동,HH,LH
20192,대림3동,HL,LL
20232,대방동,HH,LH
20192,대치1동,HL,LH
20201,대치2동,HH,LH
20213,대흥동,HH,LH
20194,도림동,HL,LL
20212,도화동,HH,LH
20192,독산2동,HL,LL
20194,독산2동,HL,LL
20194,둔촌2동,HL,LL
20211,둔촌2동,HL,LL
20213,둔촌2동,HL,LL
20221,둔촌2동,HL,LL
20203,등촌2동,HL,LL
20231,등촌2동,HL,LL
20224,면목2동,HL,LL
20193,목3동,HH,LL
20222,무악동,HH,LH
20224,무악동,HH,LH
20212,방배1동,HH,LH
20222,방화3동,HL,LL
20193,번2동,HL,LL
20223,번3동,HL,LL
20233,번3동,HL,LL
20202,보광동,HH,LH
20213,보광동,HL,LH
20222,보광동,HH,LH
20192,불광2동,HH,LH
20221,불광2동,HH,LH
20224,불광2동,HL,LH
20204,사당4동,HL,LL
20212,사당4동,HL,LL
20193,삼선동,HL,LL
20222,상계3?4동,HL,LL
20224,상계3?4동,HL,LL
20194,상계6?7동,HL,LL
20212,서빙고동,HH,LH
20232,서빙고동,HH,LH
20202,성북동,HH,LH
20223,송정동,HL,LL
20221,숭인1동,HH,LH
20224,숭인1동,HH,LH
20221,시흥4동,HL,LL
20224,신당동,HH,LH
20193,신사1동,HL,LL
20211,신월1동,HL,LL
20223,신월1동,HL,LL
20231,신월1동,HL,LL
20233,신월1동,HL,LL
20214,신월4동,HL,LL
20203,신촌동,HL,LL
20224,신촌동,HL,LL
20203,압구정동,HL,LL
20211,압구정동,HL,LL
20213,압구정동,HL,LL
20194,양재1동,HH,LH
20224,양재1동,HH,LH
20201,오금동,HL,LL
20203,용강동,HL,LL
20212,자양4동,HL,LL
20214,잠실본동,HL,LL
20233,잠원동,HL,LL
20223,전농1동,HH,LH
20231,전농1동,HH,LH
20193,정릉1동,HH,LH
20212,정릉2동,HH,LH
20232,정릉3동,HH,LH
20231,종암동,HH,LH
20212,중곡2동,HL,LL
20233,중곡2동,HL,LL
20211,중곡4동,HL,LL
20194,중화1동,HL,LL
20233,중화1동,HL,LL
20221,중화2동,HL,LL
20232,중화2동,HL,LL
20193,창3동,HL,LL
20201,창3동,HL,LL
20211,창3동,HL,LL
20214,창3동,HL,LL
20232,창4동,HL,LL
20224,천호2동,HL,LL
20194,하계2동,HH,LH
20223,홍은1동,HH,LH
20224,홍제2동,HH,LH
20194,휘경1동,HL,LL
20231,흑석동,HH,LH
