행정동_코드,상권_변화_지표,유형_수
휘경1동,['LH' 'LL' 'HL' 'HH'],4
중곡4동,['HL' 'HH' 'LH' 'LL'],4
이문2동,['LL' 'HL' 'HH' 'LH'],4
보광동,['HL' 'LH' 'HH' 'LL'],4
응암1동,['LL' 'HH' 'LH'],3
정릉1동,['LH' 'LL' 'HH'],3
용강동,['HL' 'LH' 'LL'],3
번2동,['LL' 'HL' 'LH'],3
보문동,['LH' 'HL' 'LL'],3
창3동,['LH' 'HL' 'LL'],3
양재1동,['HL' 'HH' 'LH'],3
장위1동,['LH' 'HL' 'HH'],3
천호2동,['HL' 'LL' 'LH'],3
대치1동,['HH' 'LH' 'HL'],3
대치2동,['HH' 'LL' 'LH'],3
불광2동,['HL' 'LH' 'HH'],3
신대방2동,['LH' 'HL' 'HH'],3
신월2동,['LH' 'HL' 'HH'],3
삼선동,['LL' 'HH' 'HL'],3
목3동,['LL' 'HH' 'HL'],3
상계9동,['LH' 'HL' 'LL'],3
개봉1동,['LH' 'HL' 'HH'],3
일원2동,['HH' 'HL'],2
일원본동,['LH' 'LL'],2
사당3동,['LL' 'HL'],2
일원1동,['HH' 'HL'],2
사당4동,['HL' 'LL'],2
번3동,['HL' 'LL'],2
인헌동,['LL' 'LH'],2
삼성동,['HH' 'HL'],2
방화3동,['HL' 'LL'],2
불광1동,['LH' 'HH'],2
흑석동,['HH' 'LH'],2
자양3동,['LL' 'LH'],2
자양4동,['LL' 'HL'],2
종암동,['HH' 'LH'],2
명일1동,['LL' 'HL'],2
명일2동,['LH' 'HH'],2
목2동,['LL' 'LH'],2
정릉3동,['HH' 'LH'],2
무악동,['HH' 'LH'],2
정릉2동,['LH' 'HH'],2
전농2동,['HH' 'HL'],2
전농1동,['HH' 'LH'],2
미성동,['HL' 'HH'],2
장위3동,['LH' 'HH'],2
발산1동,['LL' 'LH'],2
방배1동,['HH' 'LH'],2
잠원동,['HL' 'LL'],2
응암3동,['HL' 'HH'],2
잠실본동,['LL' 'HL'],2
방학3동,['LH' 'LL'],2
방배3동,['HH' 'HL'],2
상계6?7동,['LL' 'HL'],2
응봉동,['LL' 'HL'],2
상계3?4동,['HL' 'LL'],2
양평1동,['LH' 'LL'],2
숭인1동,['HH' 'LH'],2
시흥2동,['LL' 'LH'],2
압구정동,['LL' 'HL'],2
시흥4동,['HL' 'LL'],2
시흥5동,['HH' 'HL'],2
신길1동,['HH' 'HL'],2
암사2동,['LL' 'HL'],2
신길5동,['LL' 'HL'],2
신길6동,['LL' 'HL'],2
신당5동,['LH' 'LL'],2
신당동,['HH' 'LH'],2
신사1동,['LL' 'HL'],2
