행정동_코드,상권_변화_지표
가락1동,['HH']
가락2동,['HL']
가락본동,['LL']
가리봉동,['HL']
가산동,['LL']
가양1동,['LL']
가양2동,['LH' 'LL']
가양3동,['LH']
가회동,['LH' 'HH']
갈현1동,['LL']
갈현2동,['LL']
강일동,['LL']
개봉1동,['LH' 'HL' 'HH']
개봉2동,['HH' 'LH']
개봉3동,['HL']
개포1동,['HH' 'LH']
개포2동,['LH' 'HH']
개포4동,['HL']
거여1동,['LL']
거여2동,['LH' 'HH']
고덕1동,['LL']
고덕2동,['LL' 'LH']
고척1동,['HH' 'HL']
고척2동,['HL']
공덕동,['HH']
공릉1동,['LH' 'LL']
공릉2동,['LL']
공항동,['LL']
광장동,['LH']
광희동,['HH']
교남동,['HH']
구로1동,['HH' 'HL']
구로2동,['HH']
구로3동,['LL']
구로4동,['HL' 'LL']
구로5동,['LL']
구산동,['LL']
구의1동,['HL']
구의2동,['LH']
구의3동,['HH']
군자동,['LL' 'HL']
금호1가동,['LH']
금호2?3가동,['HH']
금호4가동,['LH']
길동,['LL']
길음1동,['LH' 'HH']
길음2동,['LL']
낙성대동,['LL']
난곡동,['LH' 'HH']
난향동,['LL']
남가좌1동,['HH']
남가좌2동,['LL']
남영동,['HH']
남현동,['LH' 'LL']
내곡동,['HH']
노량진1동,['HH']
노량진2동,['HH']
녹번동,['LL' 'LH']
논현1동,['LL']
논현2동,['LL']
능동,['LH']
다산동,['LH']
답십리1동,['LH']
답십리2동,['HH']
당산1동,['HL']
당산2동,['LL' 'LH']
대림1동,['HL']
대림2동,['LL']
대림3동,['HL' 'LL']
대방동,['LH' 'HH']
대조동,['LL' 'LH']
대치1동,['HH' 'LH' 'HL']
대치2동,['HH' 'LL' 'LH']
대치4동,['LL']
대학동,['LL']
대흥동,['LH' 'HH']
도곡1동,['HL' 'HH']
도곡2동,['HL']
도림동,['LL' 'HL']
도봉1동,['HL']
도봉2동,['LL']
도화동,['HH' 'LH']
독산1동,['LH']
독산2동,['LL' 'HL']
독산3동,['HL']
독산4동,['HL']
돈암1동,['LL' 'LH']
돈암2동,['LL']
동선동,['LL']
동화동,['LL' 'LH']
둔촌1동,['HH']
둔촌2동,['HL' 'LL']
등촌1동,['LL' 'LH']
등촌2동,['HL' 'LL']
등촌3동,['LL']
마장동,['HH']
마천1동,['HL']
마천2동,['HH']
망우3동,['LL']
망우본동,['LL' 'HL']
망원1동,['LL']
망원2동,['LL']
면목2동,['LL' 'HL']
면목3?8동,['LL']
면목4동,['LL']
면목5동,['LL']
면목7동,['HL']
면목본동,['LL']
명동,['HH']
명일1동,['LL' 'HL']
명일2동,['LH' 'HH']
목1동,['LL']
목2동,['LL' 'LH']
목3동,['LL' 'HH' 'HL']
목4동,['LL']
목5동,['LL']
무악동,['HH' 'LH']
묵1동,['LL']
묵2동,['LL']
문래동,['LH']
문정1동,['LL']
문정2동,['LL']
미성동,['HL' 'HH']
미아동,['LL']
반포1동,['LL']
반포2동,['HH']
반포3동,['HH']
반포4동,['HH']
반포본동,['HH']
발산1동,['LL' 'LH']
방배1동,['HH' 'LH']
방배2동,['LH']
방배3동,['HH' 'HL']
방배4동,['HH']
방배본동,['HL']
방이1동,['LL']
방이2동,['LL']
방학1동,['LL']
방학2동,['LL']
방학3동,['LH' 'LL']
방화1동,['LL']
방화2동,['LH']
방화3동,['HL' 'LL']
번1동,['LL']
번2동,['LL' 'HL' 'LH']
번3동,['HL' 'LL']
보광동,['HL' 'LH' 'HH' 'LL']
보라매동,['LL']
보문동,['LH' 'HL' 'LL']
부암동,['LH']
북가좌1동,['LL']
북가좌2동,['LL']
북아현동,['HH']
불광1동,['LH' 'HH']
불광2동,['HL' 'LH' 'HH']
사근동,['LH']
사당1동,['LL']
사당2동,['HL']
사당3동,['LL' 'HL']
사당4동,['HL' 'LL']
사당5동,['LL']
사직동,['HH']
삼각산동,['LL']
삼선동,['LL' 'HH' 'HL']
삼성1동,['LH']
삼성2동,['LL']
삼성동,['HH' 'HL']
삼양동,['HL']
삼전동,['LL']
삼청동,['LH']
상계10동,['LL']
상계1동,['LL']
상계2동,['LL']
상계3?4동,['HL' 'LL']
상계5동,['LL']
상계6?7동,['LL' 'HL']
상계8동,['LL' 'LH']
상계9동,['LH' 'HL' 'LL']
상도1동,['LH']
상도2동,['HH']
상도3동,['LL' 'HL']
상도4동,['LL' 'LH']
상봉1동,['LL']
상봉2동,['LL']
상암동,['LL']
상일동,['LL' 'HL']
서강동,['LL']
서교동,['LL']
서림동,['LL' 'HL']
서빙고동,['HH' 'LH']
서원동,['LH']
서초1동,['HH']
서초2동,['LL']
서초3동,['HH']
서초4동,['HH' 'HL']
석관동,['HH']
석촌동,['LL']
성내1동,['HL']
